Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After
Lesotho	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,274.29	1,115.75	1,130.72	1,223.38	1,215.15	1,185.40	924.208	1,018.32	1,157.50	1,242.60	1,279.95	1,323.35	2016
Liberia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	777.022	764.412	772.393	754.664	731.317	693.818	653.597	646.256	659.038	675.598	695.821	721.805	2016
Libya	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,876.41	2,723.37	2,907.46	4,685.07	6,361.58	6,055.46	3,282.04	4,732.70	6,338.52	7,238.05	7,891.84	8,610.33	2017
Lithuania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,560.79	14,256.28	15,005.50	16,876.66	19,089.28	19,482.14	19,883.07	22,751.74	24,411.17	25,940.81	27,301.06	28,674.00	2019
Luxembourg	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	120,449.74	102,624.93	105,364.03	108,621.75	117,859.72	115,838.77	109,602.32	125,922.64	131,701.05	136,246.00	139,729.08	143,165.97	2018
Macao SAR	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	86,997.50	70,133.00	70,379.10	77,708.13	82,535.64	79,251.49	38,769.20	48,207.05	62,600.62	78,323.67	85,921.85	92,367.27	2019
Madagascar	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	530.863	467.235	476.226	515.935	528.481	525.296	514.854	554.384	599.057	628.18	658.443	689.199	2010
Malawi	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	343.979	353.507	294.755	325.01	350.441	377.72	399.097	397.311	400.347	402.735	407.572	413.16	2011
Malaysia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,165.26	9,663.11	9,523.30	9,965.12	11,077.43	11,193.02	10,192.46	11,378.44	12,205.50	13,084.08	13,911.19	14,765.67	2019
Maldives	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,787.47	11,781.03	12,348.71	13,150.46	14,552.21	15,504.71	12,464.37	14,193.98	15,807.09	17,054.87	18,255.48	19,404.41	2014
Mali	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	872.028	772.639	803.301	853.566	915.638	907.252	899.223	992.307	1,051.93	1,099.17	1,144.97	1,179.76	2017
Malta	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	27,080.10	25,228.18	25,891.09	28,551.66	31,023.60	30,374.22	28,468.65	32,099.28	34,349.21	36,372.08	38,574.27	40,955.52	2019
Marshall Islands	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,435.91	3,421.53	3,703.56	3,916.56	4,055.98	4,325.68	4,070.62	4,091.80	4,306.21	4,472.57	4,631.75	4,787.18	2018
Mauritania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,826.78	1,668.07	1,690.81	1,747.75	1,775.32	1,872.59	1,790.95	1,781.53	1,826.10	1,913.47	1,992.01	2,038.54	2014
Mauritius	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,151.73	9,258.56	9,681.42	10,485.01	11,205.90	11,090.43	8,950.70	9,629.78	10,622.37	11,166.76	11,599.98	12,037.73	2018
Mexico	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,928.96	9,616.67	8,744.54	9,287.84	9,687.01	9,862.44	8,069.10	8,402.50	8,707.95	9,017.74	9,329.81	9,651.74	2019
Micronesia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,126.55	3,094.07	3,249.57	3,585.65	3,928.14	4,044.88	3,854.74	3,995.09	4,094.92	4,197.25	4,302.13	4,409.64	2018
Moldova	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,314.55	2,715.78	2,857.88	3,478.52	4,141.84	4,458.19	4,267.73	4,527.33	4,869.65	5,257.72	5,683.52	6,134.31	2019
Mongolia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,081.02	3,842.54	3,576.82	3,595.38	4,056.73	4,201.82	3,989.93	4,139.33	4,397.50	4,667.33	4,932.42	5,199.57	2019
Montenegro	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,389.89	6,517.42	7,031.53	7,800.27	8,854.78	8,825.69	7,933.43	9,152.39	9,738.63	10,226.75	10,715.35	11,231.65	2019
Morocco	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,259.72	2,964.96	2,995.68	3,148.01	3,348.14	3,331.76	3,121.38	3,408.59	3,553.17	3,710.23	3,875.58	4,056.16	2018
Mozambique	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	647.499	570.129	415.18	445.192	484.87	487.687	455.014	430.521	447.355	486.573	543.234	607.413	2015
Myanmar	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,244.18	1,223.74	1,163.79	1,177.08	1,271.68	1,299.22	1,332.55	1,441.12	1,566.89	1,701.43	1,848.70	2,010.21	2015
Namibia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,560.17	5,067.77	4,621.90	5,411.16	5,609.91	5,072.37	4,051.93	4,411.84	4,754.34	4,900.39	5,061.51	5,202.51	2019
Nauru	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,865.60	6,994.05	7,674.48	8,152.26	9,398.51	9,365.10	8,866.87	9,865.06	10,115.29	10,201.82	10,232.88	10,182.55	2016
Nepal	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	743.099	792.553	777.148	911.444	1,033.91	1,078.56	1,115.56	1,165.82	1,260.14	1,349.09	1,435.18	1,526.58	2018
Netherlands	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	53,026.48	45,302.80	46,165.18	48,799.87	53,224.69	52,646.19	51,289.57	58,029.30	60,538.57	62,735.61	64,756.17	66,877.49	2019
New Zealand	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	44,333.57	38,281.72	39,599.18	42,526.11	42,602.54	41,666.64	38,675.32	41,793.28	43,192.93	44,901.87	46,427.90	48,042.98	2019
Nicaragua	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,916.77	2,036.93	2,099.59	2,156.15	2,022.14	1,920.29	1,832.50	1,828.43	1,867.47	1,894.34	1,917.83	1,952.54	2017
Niger	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	564.74	484.215	497.965	517.792	572.687	553.916	535.831	567.395	628.739	686.747	718.438	748.471	2009
Nigeria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,222.69	2,718.59	2,176.00	1,968.56	2,032.73	2,229.85	2,148.91	2,208.50	2,451.52	2,709.13	2,990.52	3,296.76	2012
North Macedonia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,498.61	4,860.42	5,152.97	5,462.38	6,085.76	6,109.03	6,018.78	6,933.07	7,463.56	7,959.64	8,442.32	8,923.66	2019
Norway	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	96,657.58	74,115.16	70,223.82	75,306.67	81,549.98	75,294.43	67,988.59	76,408.03	79,684.26	82,401.29	84,700.11	87,286.11	2018
Oman	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	21,814.15	18,243.81	16,332.37	17,045.15	19,092.53	18,198.31	14,423.37	14,674.53	15,803.94	16,126.32	16,485.40	16,791.70	2018
Pakistan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,310.17	1,422.92	1,436.37	1,544.17	1,557.89	1,348.68	n/a	n/a	n/a	n/a	n/a	n/a	2020
Palau	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,039.66	15,787.60	16,600.92	16,062.31	16,264.86	16,064.02	14,232.72	13,179.50	14,536.99	16,347.42	16,806.44	17,312.30	2018
Panama	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,756.95	13,606.60	14,344.09	15,182.28	15,660.39	15,834.04	14,090.50	14,390.01	14,981.83	15,730.92	16,517.46	17,343.34	2019
Papua New Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,992.71	2,742.92	2,567.58	2,755.49	2,853.24	2,884.33	2,651.52	2,595.61	2,608.44	2,692.41	2,755.57	2,826.20	2014
Paraguay	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,050.05	5,353.06	5,259.92	5,609.85	5,725.90	5,233.39	4,909.39	5,207.02	5,523.76	5,832.95	6,118.50	6,392.64	2018
Peru	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,565.41	6,141.43	6,173.17	6,728.72	7,003.52	6,957.86	5,844.69	6,229.42	6,570.94	6,931.88	7,235.48	7,542.16	2018
Philippines	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,995.50	3,039.23	3,107.65	3,153.31	3,279.52	3,511.94	3,372.53	3,601.87	3,858.23	4,151.21	4,466.11	4,805.84	2019
Poland	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,342.75	12,566.09	12,427.71	13,871.57	15,460.78	15,600.66	15,303.54	16,739.73	18,253.59	19,804.11	21,285.25	22,720.37	2019
Portugal	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	22,109.32	19,252.02	19,986.36	21,482.86	23,472.27	23,132.46	21,608.35	25,096.95	26,964.00	28,338.36	29,463.12	30,516.89	2019
Puerto Rico	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	28,981.34	29,755.35	30,585.55	31,590.97	31,603.41	32,595.17	30,113.31	31,206.63	32,217.08	33,015.72	33,699.48	34,407.54	2018
Qatar	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	93,054.14	66,346.96	57,965.39	59,127.49	66,421.62	62,918.85	52,751.11	55,417.22	58,955.88	61,365.15	64,420.24	67,498.93	2018
Romania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,004.88	8,950.46	9,538.93	10,776.67	12,371.66	12,887.06	12,813.11	14,916.09	16,130.32	17,368.80	18,581.43	19,839.74	2019
Russia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,007.52	9,257.93	8,723.52	10,723.99	11,344.98	11,601.42	9,972.50	10,792.47	11,334.66	11,861.39	12,393.21	12,973.27	2019
Rwanda	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	751.989	759.764	759.492	784.138	795.755	816.358	823.402	819.648	864.67	935.864	999.116	1,056.77	2012
Samoa	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,937.71	4,073.68	4,081.70	4,210.36	4,192.59	4,230.59	4,083.81	4,052.97	4,210.77	4,357.22	4,510.21	4,667.35	2016
San Marino	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	51,234.87	43,068.69	44,308.67	45,887.69	49,477.28	47,621.71	41,682.81	44,676.33	46,272.68	47,201.97	47,759.26	48,683.51	2018
S„o TomÈ and PrÌncipe	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,826.92	1,623.81	1,737.73	1,842.33	1,988.72	1,980.35	1,911.89	2,132.98	2,299.64	2,437.88	2,574.11	2,716.07	2011
Saudi Arabia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	24,929.32	21,063.31	20,288.92	21,113.96	23,538.93	23,266.49	19,586.50	20,741.88	21,488.35	22,061.20	22,680.70	23,322.94	2019
Senegal	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,397.02	1,219.37	1,269.55	1,361.22	1,466.10	1,445.89	1,455.47	1,629.43	1,724.42	1,926.58	2,062.40	2,158.36	2018
Serbia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,598.94	5,585.12	5,756.38	6,284.20	7,246.19	7,382.39	7,497.14	8,444.02	9,215.83	9,913.16	10,619.45	11,391.96	2019
Seychelles	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,701.37	14,786.12	15,209.81	16,141.24	16,535.81	17,126.51	12,322.59	12,648.06	14,356.23	16,173.75	17,792.27	18,861.65	2015
Sierra Leone	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	713.53	592.903	525.948	495.812	533.972	539.122	518.466	470.972	468.842	472.882	480.67	494.269	2017
Singapore	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	57,564.80	55,645.61	56,826.39	60,912.73	66,185.53	65,233.88	58,483.96	62,112.95	64,217.44	66,383.76	68,555.02	70,766.32	2019
Slovak Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	18,709.90	16,324.67	16,526.47	17,560.68	19,449.96	19,344.17	18,669.30	21,606.17	23,307.26	24,743.67	25,969.77	27,172.06	2019
Slovenia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	24,263.96	20,898.91	21,640.27	23,498.09	26,154.80	25,992.07	25,038.79	28,734.21	30,628.82	32,313.32	33,910.26	35,474.43	2019
Solomon Islands	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,326.59	2,231.83	2,299.88	2,375.04	2,527.65	2,493.52	2,367.23	2,501.29	2,624.86	2,753.71	2,878.16	3,003.95	2015
Somalia	Gross domestic product per capita, current prices	U.S. dollars	Units														
South Africa	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,429.83	5,731.73	5,266.88	6,119.89	6,353.85	5,977.95	4,735.75	5,235.79	5,634.56	5,814.02	6,070.66	6,320.22	2019
South Sudan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,334.09	1,245.68	286.208	277.692	359.062	368.839	303.146	322.64	341.201	353.464	366.784	364.962	2008
Spain	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	29,524.76	25,764.22	26,564.63	28,272.99	30,579.15	29,993.06	26,831.63	31,178.18	33,208.72	34,919.32	36,409.50	37,477.78	2019
Sri Lanka	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,818.40	3,842.25	3,885.76	4,076.75	4,078.68	3,852.48	3,697.89	3,927.50	4,197.94	4,472.16	4,769.52	5,095.48	2019
St. Kitts and Nevis	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	17,056.03	17,004.85	17,708.18	17,994.32	18,060.37	18,853.68	15,246.40	16,490.62	17,765.43	18,774.56	19,466.61	20,186.47	2015
St. Lucia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,167.40	10,375.92	10,609.62	11,275.12	11,560.86	11,803.10	9,780.50	10,635.59	11,422.47	12,111.74	12,502.25	12,905.76	2015
St. Vincent and the Grenadines	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,622.44	6,867.52	7,033.49	7,187.49	7,353.64	7,463.97	7,033.08	7,400.79	7,806.21	8,232.06	8,617.72	9,020.36	2016
Sudan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,628.50	1,698.08	1,403.15	1,126.55	849.847	771.814	734.597	713.787	682.671	682.86	688.98	701.225	2011
Suriname	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,379.00	8,439.04	5,435.12	5,514.71	5,871.20	6,191.28	4,199.16	4,921.23	5,154.35	5,389.04	5,638.59	5,852.01	2016
Sweden	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	59,704.81	51,274.28	51,590.47	53,459.07	54,295.73	51,404.43	50,339.20	57,659.73	60,461.79	63,124.14	65,953.62	68,745.43	2019
Switzerland	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	87,157.84	82,513.63	80,628.39	80,764.92	83,158.27	82,483.93	81,867.46	90,357.80	94,004.04	96,480.21	100,277.31	103,005.71	2019
Syria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2010
Taiwan Province of China	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	22,844.32	22,752.99	23,070.73	25,061.62	25,780.41	25,873.37	26,910.23	28,889.47	30,432.81	32,058.01	33,785.37	35,305.24	2019
Tajikistan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,105.20	919.073	795.981	800.802	825.77	873.499	833.545	851.279	884.275	914.473	946.746	983.009	2014
Tanzania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,030.74	947.897	966.29	1,002.87	1,036.93	1,079.68	1,105.55	1,132.13	1,189.05	1,254.91	1,327.95	1,406.44	2012
Thailand	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,951.88	5,839.61	5,995.08	6,594.18	7,293.83	7,806.96	7,295.13	7,674.54	8,124.93	8,556.18	9,019.66	9,475.79	2018
Timor-Leste	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,232.46	1,334.67	1,358.20	1,294.72	1,237.10	1,252.42	1,456.05	1,273.12	1,295.19	1,330.52	1,338.45	1,375.11	2018
Togo	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	641.132	570.968	595.142	623.606	679.222	675.304	690.275	758.742	801.629	847.899	898.398	951.107	2016
Tonga	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,303.82	4,298.22	4,178.29	4,577.00	4,836.44	5,150.55	5,023.17	4,949.23	5,332.63	5,637.57	5,910.02	6,154.47	2019
Trinidad and Tobago	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	20,270.96	18,289.53	16,182.78	16,238.27	17,130.24	17,276.43	16,197.20	16,621.96	17,450.39	17,892.68	18,269.55	18,653.25	2018
Tunisia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,274.47	3,829.50	3,665.68	3,451.72	3,411.13	3,292.59	3,295.45	3,380.08	3,394.77	3,402.95	3,541.17	3,742.06	2019
Turkey	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,079.29	10,973.59	10,891.19	10,628.90	9,506.84	9,150.86	7,715.37	7,658.85	8,381.12	9,290.93	10,051.29	10,888.24	2019
Turkmenistan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,962.37	6,432.67	6,412.14	6,642.52	7,064.74	7,723.68	8,073.58	8,874.21	9,716.13	10,650.40	11,691.68	12,851.79	2004
Tuvalu	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,412.24	3,238.99	3,637.63	3,945.59	4,230.51	4,308.85	4,090.76	4,296.12	4,533.16	4,785.08	5,006.08	5,237.96	2012
Uganda	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	960.698	769.774	804.526	829.073	869.431	916.156	915.354	971.277	1,030.32	1,082.22	1,162.64	1,261.21	2016
Ukraine	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,053.61	2,124.62	2,200.00	2,655.94	3,118.53	3,706.77	3,424.77	3,614.67	3,967.68	4,312.07	4,719.28	5,173.37	2019
United Arab Emirates	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	43,340.02	37,380.57	36,226.23	38,031.54	40,479.47	39,179.88	31,947.92	32,686.18	33,126.53	33,657.07	34,197.87	34,734.97	2005
United Kingdom	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	47,454.22	44,989.06	41,193.64	40,406.62	43,114.25	42,378.61	39,228.52	42,235.94	44,221.10	45,704.66	47,237.93	48,734.04	2019
United States	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	55,024.66	56,848.51	58,017.23	60,105.85	63,055.98	65,253.52	63,051.40	66,144.14	69,004.24	71,537.73	73,974.36	76,475.00	2019
Uruguay	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,572.36	15,365.96	15,139.12	17,041.72	17,064.60	16,110.74	15,331.72	16,297.36	17,143.65	17,945.27	18,685.89	19,527.72	2015
Uzbekistan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,514.07	2,621.98	2,575.52	1,810.27	1,542.64	1,741.70	1,762.86	1,835.82	1,982.16	2,162.30	2,350.95	2,547.92	2019
Vanuatu	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,110.71	2,880.95	2,929.52	3,158.84	3,252.06	3,186.20	2,878.69	2,966.58	3,070.62	3,163.88	3,256.83	3,346.00	2017
Venezuela	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,747.67	10,568.10	9,092.02	4,725.05	3,404.43	2,299.31	1,739.11	1,585.89	1,544.04	n/a	n/a	n/a	2010
Vietnam	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,539.34	2,555.54	2,692.73	2,928.88	3,181.89	3,416.23	3,497.51	3,758.89	4,081.69	4,430.02	4,814.71	5,211.90	2019
West Bank and Gaza	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,155.51	3,082.92	3,325.29	3,405.03	3,358.05	3,426.21	2,894.07	3,059.73	3,184.92	3,239.72	3,295.55	3,353.92	2019
Yemen	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,574.25	1,500.69	1,061.84	891.888	762.136	713.072	645.126	572.558	522.835	500.451	503.135	524.345	2019
Zambia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,727.03	1,310.35	1,252.70	1,500.65	1,519.45	1,318.47	1,001.44	1,005.56	1,021.61	1,042.90	1,061.97	1,067.06	2018
Zimbabwe	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,415.03	1,425.01	1,409.45	1,516.28	1,423.10	1,254.49	921.847	516.2	532.584	541.352	560.091	580.492	2017
